p_s p_d d k L L2 K1 K2 E_S E_D E_I f_A_orig f_A_mut
0.01 0.1 0.05 21 1000000 949422 999980 949402 7847 77091 30499 399295 369482
0.01 0.1 0.05 21 1000000 949592 999980 949572 7847 78426 30565 399295 369891
0.01 0.1 0.05 21 1000000 950416 999980 950396 7589 76658 31529 399295 370072
0.01 0.1 0.05 21 1000000 949906 999980 949886 7878 76422 31119 399295 369689
0.01 0.1 0.05 21 1000000 949824 999980 949804 7447 76666 31296 399295 370058
0.01 0.1 0.1 21 1000000 999014 999980 998994 3092 29973 22123 399295 381897
0.01 0.1 0.1 21 1000000 1000004 999980 999984 3279 31273 23119 399295 382457
0.01 0.1 0.1 21 1000000 1000487 999980 1000467 3198 29956 23122 399295 382641
0.01 0.1 0.1 21 1000000 1000235 999980 1000215 2954 29121 23082 399295 382572
0.01 0.1 0.1 21 1000000 999347 999980 999327 3074 29826 24193 399295 381947
0.05 0.01 0.01 21 1000000 999983 999980 999963 249828 49128 44104 399295 387829
0.05 0.01 0.01 21 1000000 1000031 999980 1000011 249819 49527 43754 399295 387911
0.05 0.01 0.01 21 1000000 1000098 999980 1000078 247803 50310 44685 399295 387724
0.05 0.01 0.01 21 1000000 1000041 999980 1000021 248946 50983 45027 399295 387943
0.05 0.01 0.01 21 1000000 999691 999980 999671 249297 51979 44139 399295 387775
0.05 0.01 0.05 21 1000000 1039827 999980 1039807 116087 23048 97891 399295 397663
0.05 0.01 0.05 21 1000000 1040028 999980 1040008 114382 23181 97956 399295 397821
0.05 0.01 0.05 21 1000000 1040504 999980 1040484 113148 22807 98913 399295 398252
0.05 0.01 0.05 21 1000000 1039832 999980 1039812 116273 23169 97326 399295 397797
0.05 0.01 0.05 21 1000000 1040026 999980 1040006 113970 23327 98196 399295 397792
0.05 0.01 0.1 21 1000000 1089419 999980 1089399 45469 9364 72559 399295 410172
0.05 0.01 0.1 21 1000000 1089974 999980 1089954 45067 9039 73702 399295 410115
0.05 0.01 0.1 21 1000000 1090287 999980 1090267 45405 8418 73575 399295 410318
0.05 0.01 0.1 21 1000000 1089861 999980 1089841 45704 8762 72751 399295 410413
0.05 0.01 0.1 21 1000000 1089274 999980 1089254 45726 9378 75083 399295 410379
0.05 0.05 0.01 21 1000000 959867 999980 959847 104604 103743 17432 399295 371727
0.05 0.05 0.01 21 1000000 959986 999980 959966 105151 104571 17172 399295 371818
0.05 0.05 0.01 21 1000000 960062 999980 960042 103480 104752 18440 399295 371808
0.05 0.05 0.01 21 1000000 960140 999980 960120 104693 102216 18067 399295 372164
0.05 0.05 0.01 21 1000000 960012 999980 959992 104920 104976 18081 399295 372053
0.05 0.05 0.05 21 1000000 999711 999980 999691 48367 48470 39118 399295 381561
0.05 0.05 0.05 21 1000000 1000268 999980 1000248 49142 48788 39147 399295 381826
0.05 0.05 0.05 21 1000000 1000541 999980 1000521 47342 47910 40081 399295 382154
0.05 0.05 0.05 21 1000000 999946 999980 999926 48976 47267 39077 399295 381909
0.05 0.05 0.05 21 1000000 1000265 999980 1000245 47950 48900 39854 399295 381871
0.05 0.05 0.1 21 1000000 1049303 999980 1049283 18761 19278 28610 399295 394070
0.05 0.05 0.1 21 1000000 1049903 999980 1049883 19001 18913 29525 399295 394215
