p_s p_d d S D I K1 K2 k S_k_half S_norm D_norm, I_norm
0.01 0.02 0.04 644 1009 2040 9980 10207 21 576 0.003072812291249165 0.004814390686134173 0.010220440881763528
0.01 0.02 0.04 517 1206 1724 9980 10125 21 563 0.0024668384387823267 0.005754365874606355 0.008637274549098196
0.01 0.02 0.04 614 933 1658 9980 10178 21 618 0.002929668861532589 0.004451760664185514 0.008306613226452906
0.01 0.02 0.04 588 1128 1954 9980 10180 21 591 0.0028056112224448897 0.005382192957343258 0.009789579158316634
0.01 0.02 0.04 523 1049 1933 9980 10181 21 565 0.0024954671247256416 0.005005248592422941 0.00968436873747495
0.01 0.02 0.04 553 1060 2002 9980 10173 21 536 0.002638610554442218 0.005057734516652352 0.010030060120240481
0.01 0.02 0.04 447 1019 2217 9980 10225 21 478 0.0021328371027769825 0.004862105162706365 0.011107214428857716
0.01 0.02 0.05 354 839 1767 9980 10294 21 516 0.0016890924706555969 0.004003244584406909 0.008852705410821643
0.01 0.02 0.05 440 836 1973 9980 10289 21 519 0.002099436969176448 0.003988930241435251 0.009884769539078157
0.01 0.02 0.05 543 760 1874 9980 10280 21 602 0.0025908960778700256 0.0036263002194865924 0.009388777555110221
0.01 0.02 0.05 439 819 2060 9980 10292 21 524 0.0020946655215192287 0.003907815631262525 0.01032064128256513
0.01 0.02 0.05 518 865 1877 9980 10299 21 562 0.002471609886439546 0.0041273022234946085 0.00940380761523046
0.01 0.02 0.05 434 954 1649 9980 10282 21 485 0.002070808283233133 0.0045519610649871175 0.008261523046092184
0.01 0.02 0.05 385 885 2037 9980 10287 21 472 0.001837007348029392 0.004222731176638992 0.010205410821643286
0.01 0.02 0.05 444 850 1732 9980 10287 21 566 0.002118522759805325 0.00405573050863632 0.008677354709418838
0.01 0.02 0.05 268 995 1678 9980 10252 21 356 0.0012787479721347457 0.004747590418933105 0.00840681362725451
0.01 0.02 0.05 389 961 1795 9980 10258 21 447 0.001856093138658269 0.004585361198587651 0.008992985971943888
0.01 0.02 0.05 370 872 2102 9980 10264 21 407 0.0017654356331711042 0.004160702357095143 0.010531062124248498
0.01 0.02 0.05 364 1160 1977 9980 10254 21 497 0.0017368069472277889 0.005534879282374273 0.009904809619238477
0.01 0.02 0.05 509 850 1941 9980 10275 21 581 0.002428666857524573 0.00405573050863632 0.009724448897795591
0.01 0.02 0.05 542 883 1955 9980 10320 21 516 0.0025861246302128064 0.004213188281324554 0.009794589178356714
0.01 0.02 0.05 368 977 1725 9980 10234 21 466 0.0017558927378566657 0.004661704361103159 0.008642284569138277
0.01 0.02 0.05 468 785 1827 9980 10286 21 543 0.0022330375035785857 0.003745586410917072 0.009153306613226452
0.01 0.02 0.05 312 891 1860 9980 10275 21 343 0.0014886916690523904 0.004251359862582307 0.009318637274549098
0.01 0.02 0.05 430 843 2021 9980 10273 21 543 0.002051722492604256 0.004022330375035786 0.010125250501002004
0.01 0.02 0.05 446 863 1903 9980 10300 21 467 0.0021280656551197633 0.00411775932818017 0.009534068136272545
0.01 0.02 0.05 352 866 2198 9980 10328 21 471 0.0016795495753411584 0.004132073671151828 0.011012024048096192
0.01 0.03 0.01 628 2211 725 9980 9768 21 686 0.0029964691287336577 0.010549670770111652 0.0036322645290581164
0.01 0.03 0.01 937 2282 714 9980 9794 21 733 0.004470846454814391 0.010888443553774215 0.0035771543086172346
0.01 0.03 0.01 819 2271 605 9980 9791 21 658 0.003907815631262525 0.010835957629544804 0.003031062124248497
0.01 0.03 0.01 784 2188 690 9980 9792 21 721 0.0037408149632598532 0.01043992747399561 0.0034569138276553104
0.01 0.03 0.01 620 2321 730 9980 9803 21 552 0.0029582975474759044 0.011074530012405765 0.003657314629258517
0.01 0.03 0.01 617 2575 688 9980 9742 21 533 0.0029439832045042467 0.01228647771733944 0.0034468937875751504
0.01 0.03 0.01 854 2242 824 9980 9816 21 741 0.004074816299265197 0.010697585647485446 0.0041282565130260525
0.01 0.03 0.01 738 2334 736 9980 9784 21 626 0.00352132837102777 0.011136558831949613 0.003687374749498998
0.01 0.03 0.01 889 1936 809 9980 9817 21 717 0.004241816967267869 0.009237522664376371 0.004053106212424849
0.01 0.03 0.01 659 2286 763 9980 9804 21 515 0.003144384006107453 0.010907529344403092 0.0038226452905811624
0.01 0.03 0.01 721 2439 914 9980 9791 21 613 0.0034402137608550436 0.01163756083595763 0.004579158316633266
0.01 0.03 0.01 861 2362 586 9980 9813 21 741 0.004108216432865732 0.011270159366351751 0.002935871743486974
0.01 0.03 0.01 874 2247 667 9980 9804 21 735 0.0041702452524095815 0.010721442885771542 0.0033416833667334668
0.01 0.03 0.01 853 2348 739 9980 9801 21 666 0.004070044851607978 0.011203359099150682 0.0037024048096192387
0.01 0.03 0.01 727 2198 708 9980 9768 21 573 0.0034688424467983585 0.010487641950567802 0.0035470941883767536
0.01 0.03 0.01 817 2011 724 9980 9776 21 744 0.0038982727359480867 0.009595381238667811 0.003627254509018036
0.01 0.03 0.01 684 2444 701 9980 9743 21 597 0.003263670197537933 0.011661418074243726 0.0035120240480961923
0.01 0.03 0.01 770 2291 708 9980 9789 21 691 0.003674014696058784 0.010931386582689188 0.0035470941883767536
0.01 0.03 0.01 686 2115 664 9980 9787 21 612 0.0032732130928523713 0.010091611795018609 0.0033266533066132263
0.01 0.03 0.01 774 2674 544 9980 9749 21 652 0.003693100486687661 0.012758851035404141 0.0027254509018036074
0.01 0.03 0.02 430 1724 1255 9980 9904 21 591 0.002051722492604256 0.008225975761045902 0.006287575150300601
0.01 0.03 0.02 733 1907 1065 9980 9898 21 645 0.003497471132741674 0.009099150682317016 0.005335671342685371
0.01 0.03 0.02 664 1854 1248 9980 9894 21 593 0.003168241244393549 0.008846263956484397 0.00625250501002004
